date,rating,content,product_url
14 jul. 2024,5,Amo este condicionador! porém o valor dele é beeem caro!.,https://www.mercadolivre.com.br/vichy-dercos-energy-condicionador-fortalecedor-200ml/p/MLB31414435
28 nov. 2024,5,Tirou todo ressecamento do cabelo de minha filha. Amei o produto.,https://produto.mercadolivre.com.br/MLB-3547029345-kit-jubinha-linha-infantil-completo-pesadinho-widi-care-_JM
28 jul. 2024,5,Super indico top.,https://produto.mercadolivre.com.br/MLB-3435394769-let-me-be-progressiva-passo-unico-1l-escova-orgnica-_JM
24 dez. 2024,5,"Tudo certinho 😁 eu adoro este produto, ele deixa o cabelo muito macio.",https://www.mercadolivre.com.br/reconstruco-capilar-novex-recarga-de-queratina-hidrataco-de-80ml-80g/p/MLB19514354
06 fev. 2025,1,Péssimo veio muito pequeno o produto ainda veio com muito pouco produto isso é propaganda enganosa.,https://www.mercadolivre.com.br/kit-liso-master-100ml/p/MLB20304564
25 nov. 2024,5,Tem um cheiro característico de formol. É suportável.,https://www.mercadolivre.com.br/botox-realinhamento-prohall-max-repair-antifrizz-300g/p/MLB19918516
08 fev. 2025,5,Ótimo produto. Minha esposa curtiu.,https://produto.mercadolivre.com.br/MLB-2940956798-shampoo-condicionador-liso-intenso-4d-eudora-_JM
28 out. 2024,5,👍.,https://www.mercadolivre.com.br/shampoo-queratina-preenche-blinda-510ml-pantene/p/MLB34078957
20 ago. 2024,5,Certinho.,https://www.mercadolivre.com.br/kit-profissional-zap-me-leva-shampoo-detox-500ml/p/MLB19542157
29 dez. 2024,5,"Sem palavras, muito bom o produto, vale com certeza o preço.",https://www.mercadolivre.com.br/protetor-solar-sun-protect-hidrata-fps50-400ml-nivea/p/MLB17476586
25 jun. 2024,5,Salvou meu cabelo.,https://www.mercadolivre.com.br/supermascara-acidificante-redutor-de-ph-cabelos-com-quimica-240g/p/MLB25928804
11 dez. 2024,5,👍.,https://www.mercadolivre.com.br/kit-desmaia-cabelo-shampoo-condicionador-serum-e-mascara-350/p/MLB23987336
07 nov. 2023,5,"Muito bom !!.
Funciona na caspa.",https://www.mercadolivre.com.br/shampoo-anticaspa-intensivo-kerium-ds-125ml-la-roche-posay/p/MLB19506142
26 nov. 2024,5,Amei os produtos são ótimos muito cheiroso resultado maravilhoso nos cabelos vou continuar comprando.,https://produto.mercadolivre.com.br/MLB-3516083785-kit-capilar-12-itens-shampoo-condicionador-mascara-_JM
06 mai. 2024,5,Ótimo produto.,https://www.mercadolivre.com.br/kit-realinhamento-proliss-3d-2x300ml-myphios/p/MLB19537934
19 jun. 2022,5,Ótimo produto. Funciona bem! eu particularmente indico. Muito bom mesmo.,https://produto.mercadolivre.com.br/MLB-1402304909-shampoo-grandha-fito-capillus-tea-tree-up-ice-anticaspa-250-_JM
20 jan. 2025,5,"Muito bom, com uma fragrância maravilhosa e ainda veio um brinde.",https://www.mercadolivre.com.br/kit-borabella-brush-fluido-9em1-cautergloss-espelhamento/p/MLB27506435
01 ago. 2024,5,"Não deixa o cabelo pesado, cheiro e qualidade excelentes.
Com certeza recomendo e comprarei novamente.",https://www.mercadolivre.com.br/dark-oil-lightweight-mask-mascara-150ml-sebastian-professional/p/MLB19971412
14 mai. 2024,5,Maravilhoso.,https://www.mercadolivre.com.br/itallian-hairtech-hidrataco-intensiva-mascara-1kg/p/MLB19314275
09 jun. 2024,5,Excelente.,https://www.mercadolivre.com.br/mascara-reconstrutora-shock-plus-mutari-500ml/p/MLB20331595
20 jan. 2025,5,"Eu amo esse botox, podem comprar sem medo.",https://www.mercadolivre.com.br/borabella-organico-sem-formol-boratx-reduz-volume-1kg/p/MLB19566925
16 set. 2023,5,Faço usa já há algum tempo e gosto muito. O cabelo fica muito macio.,https://www.mercadolivre.com.br/alfaparf-rigen-nourishing-milk-protein-plus-1-kg/p/MLB19566998
20 out. 2024,5,"Usei no cabelo de minha enteada, ficou muito bom , sedoso e com brilho, ela gostou bastante.",https://www.mercadolivre.com.br/dabelle-kit-3-mascaras-400g-meu-cronograma-perfeito/p/MLB19514810
06 mai. 2024,5,"Ótimo preço,fragrância suave.",https://produto.mercadolivre.com.br/MLB-3259951031-gel-cola-fox-for-man-10-unidades-extra-forte-oferta-atacado-_JM
17 dez. 2022,5,O produto vale o preço. Recomendo.,https://www.mercadolivre.com.br/creme-de-limpeza-capilar-sensi-scalp-300ml-vichy-dercos/p/MLB19703023
16 jan. 2024,5,"Maravilhoso, cabelo fica muito macio. Amei.",https://www.mercadolivre.com.br/mascara-widi-care-juba-butter-oil-manteiga-500g-nutrico/p/MLB23479714
25 nov. 2024,5,Muito bom.,https://www.mercadolivre.com.br/kit-shampoo-e-condicionador-1l-mascara-1kg-sos-hidrataco/p/MLB37803190
30 jan. 2025,5,Com certeza vou comprar de novo. Gostei bastante.,https://www.mercadolivre.com.br/kit-bio-extratus-pos-quimica-abacate-e-jojoba-profissional-cor-de-cabelo-todas-as-cores/p/MLB27728079
10 mar. 2024,5,Excelente produto.,https://www.mercadolivre.com.br/truss-uso-obrigatorio-reconstrutor-summer-260ml/p/MLB19512858
23 jan. 2024,5,Amo muito esse finalizador. Meu cabelo ficou muito sedoso e fácil de pentear e escovar.,https://www.mercadolivre.com.br/fluido-reparador-essential-brae-hair-repair-spray-260ml/p/MLB19525584
24 jan. 2024,5,Juba o melhor.,https://www.mercadolivre.com.br/creme-de-pentear-encrespando-a-juba-widi-care-1l/p/MLB20230888
22 fev. 2024,5,"Amei muito bem,cheirosos.",https://www.mercadolivre.com.br/kit-cachos-conceito-no-poo-e-low-poo-curls-coiffer-c-5un/p/MLB24729303
06 jan. 2025,4,"Óleo de rícino, para o uso que se propõe deveria vir em um frasco escuro para evitar o contato do produto com a luz.
O cheiro também não é muito agradável.",https://produto.mercadolivre.com.br/MLB-2203049084-oleo-de-ricino-100-puro-crescimento-capilar-2-litros-_JM
29 nov. 2024,5,O melhor.,https://www.mercadolivre.com.br/protetor-solar-sun-fresh-fps70-120ml-neutrogena/p/MLB16139142
16 dez. 2024,5,Muito bom.,https://produto.mercadolivre.com.br/MLB-1598442407-cadiveu-maxi-ondas-ativador-kit-2-unidades-2x215ml-_JM
07 jan. 2025,5,Maravilhoso ❤️.,https://www.mercadolivre.com.br/kit-shampoo-condicionador-hidrata-creme-turbinada-salon-line/p/MLB31729162
15 jun. 2024,5,São produtos excelentes já tem tempo que uso.,https://www.mercadolivre.com.br/kit-cronograma-capilar-300g-le-pro-cosmetics/p/MLB29359623
24 jun. 2024,5,,https://produto.mercadolivre.com.br/MLB-2726983008-kit-shampoo-condicionador-creme-pentear-sos-cacho-salon-line-_JM
16 dez. 2024,5,Euuu ameiii meu quite 😍🥰n vejo a hora de usalos😍😍😍😍😍veiooo conforme eu pedi 🥰🙏🫶.,https://www.mercadolivre.com.br/kit-rapunzel-tonico-do-crescimento-e-mascara-lola-cosmetics/p/MLB30478199
17 dez. 2023,5,"Amei, comprei pra misturar com o flamingo e deu super certo.",https://www.mercadolivre.com.br/banho-de-brilho-corujinha-1-litro-kamaleo-color/p/MLB19676538?product_trigger_id=MLB21361032
03 fev. 2025,5,Bom!.,https://www.mercadolivre.com.br/charming-black-hair-spray-extra-forte-400ml/p/MLB19629247
24 jan. 2025,5,"Excelente ! cumpre o que promete , tive corte químico e melhorou muito a textura do meu cabelo !.",https://www.mercadolivre.com.br/borabella-reconstrutor-anti-emborrachamento-sos-extreme/p/MLB36752534
21 nov. 2023,4,"Comprei por causa da fragrância, que é incrível! achei a textura meio pegajosa, mas usando em pouca quantidade, definiu bem as ondas do meu cabelo (meu cabelo é muito fino) e diminuiu o frizz.",https://www.mercadolivre.com.br/leave-in-loreal-curl-expression-hidrataco-para-cachos-200ml/p/MLB24754658
05 dez. 2023,5,Só achei o preço muito elevado. O condicionador é muito líquido.,https://produto.mercadolivre.com.br/MLB-2688729935-kit-alfaparf-sdl-moisture-shampoo-250mlcondicionador-200ml-_JM
17 out. 2024,5,"Gostei muito do produto,só fiquei um pouco triste pois o lacre estava danificado!.",https://produto.mercadolivre.com.br/MLB-3504439653-recondicionador-kera-system-aneethun-1-litro-_JM
14 nov. 2024,5,Maravilhosa.,https://produto.mercadolivre.com.br/MLB-4977497936-blueken-botanique-escova-progressiva-orgnica-1000ml-_JM
22 dez. 2024,5,,https://www.mercadolivre.com.br/cauterizaco-e-reconstruco-capilar-vezzo-3-litros/p/MLB20974674
12 jan. 2023,5,O produto é de excelente qualidade. Vale a pena a compra.,https://www.mercadolivre.com.br/mascara-reparadora-absoluta-loreal-professionnel/p/MLB19138689
06 dez. 2023,5,Amei e ainda ganhei 5 amostras grátis e 1 caneta. Obrigado.,https://produto.mercadolivre.com.br/MLB-3350551805-shampoo-day-by-day-midori-profissional-5-litros-_JM
04 dez. 2023,4,Produto excelente.,https://www.mercadolivre.com.br/protetor-solar-sundown-praia-e-piscina-fps-70-200ml/p/MLB16139135
18 dez. 2023,1,Produto falso!.,https://www.mercadolivre.com.br/extreme-strength-repair-mascara-capilar-500ml-redken/p/MLB20975592
22 jun. 2024,5,Não usei ainda. Volta para contar.,https://www.mercadolivre.com.br/mascara-banho-de-perola-forever-liss-250g/p/MLB19314337
09 dez. 2024,5,Perfeito.,https://www.mercadolivre.com.br/farmax-oleo-de-ricino-puro-oleo-capilar-unisex-100-ml/p/MLB19314265
27 dez. 2024,5,"Maravilhoso, o cabelo fica top amei.",https://produto.mercadolivre.com.br/MLB-4783537898-brae-cronograma-mascaras-divine-revival-e-soul-color-200g-_JM
11 dez. 2023,5,Amooo é a melhor marca.,https://produto.mercadolivre.com.br/MLB-3670311706-progressiva-madamelis-ultimate-original-mascara-brinde-_JM
29 out. 2023,2,"Quebrou, comprei pra outra pessoa.",https://www.mercadolivre.com.br/pistola-pulverizadora-de-vapor-azul-pro-nano-380ml-k5-pro/p/MLB20614699
14 dez. 2024,5,"Cheiro maravilhoso, realmente fica no cabelo ,cheirinho de melancia.",https://www.mercadolivre.com.br/creme-para-pentear-melancia-kids-cachinhos-definidos-500g/p/MLB41405148
17 jul. 2022,5,"Uso acqua di giò há mais de 20 anos. Quem insiste em afirmar que o produto é falso ou não o conhece ou não entende nada do mesmo. É excelente e perfeito para uso diurno e no calor. É suave e, com o passar das horas, fica mais fraco mas sem perder sua fragrância. Quem prefere um perfume forte que chama a atenção de todo mundo, passe longe de acqua di giò.
Simples assim.",https://www.mercadolivre.com.br/perfume-masculino-giorgio-armani-acqua-di-gi-pour-homme-eau-de-toilette-50ml/p/MLB6203832
18 out. 2024,5,"O produto realmente hidrata, meu cabelo é alisado e deu super certo.",https://produto.mercadolivre.com.br/MLB-1682884906-kit-haskell-mandioca-shampoo-condicionador-mascara-de-1-l-_JM
15 mai. 2024,5,Vou experimentar pela primeira vez. Se for bom compro mais.,https://www.mercadolivre.com.br/forever-liss-x-frizz-umectaco-noturna-250g/p/MLB19740573
09 fev. 2025,3,Pra mim não alisou.,https://www.mercadolivre.com.br/borabella-no-chore-mais-19-aminoacidos-2x350m/p/MLB37926334
31 jan. 2025,5,"Gente pode comprar sem medo, já conheço o produto,e alisa perfeito não afina o cabelo da um resultado de milhões.",https://www.mercadolivre.com.br/selamento-biologico-capilar-thermal-bio2-x-keratin-larree-1l/p/MLB20253989
05 dez. 2024,5,"Comprei para usar na minha filha, prático que ate ela mesma usa, não fica pesado o cabelo. Adorei.",https://www.mercadolivre.com.br/cera-antifrizz-hidratei-12g-hidratei-antifrizz-nutritivo-e-antifrizz-12g/p/MLB43076550
19 set. 2022,5,Ele e consistente um produto que supera a nossa expectativa muito bom.,https://produto.mercadolivre.com.br/MLB-1450418812-mascara-capilar-aneethun-_JM
